Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,crime_deprivation_rank_2006,crime_deprivation_rank_2009,crime_deprivation_rank_2012,crime_local_rank_2006,crime_local_rank_2009,crime_local_rank_2012
S01003684,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,1277,2719,2030,265,435,383
S01003372,"Cranhill, Lightburn and Queenslie South",Baillieston,Glasgow Baillieston,1017,847,2033,222,153,384
S01003079,Muirend and Old Cathcart,Linn,Glasgow Cathcart,3856,3065,2039,582,478,385
S01003115,Pollokshaws,Newlands/Auldburn,Glasgow Cathcart,1210,2085,2040,251,365,386
S01003308,Penilee,Craigton,Glasgow Pollok,1580,515,2041,315,92,387
S01003039,Darnley East,Greater Pollok,Glasgow Pollok,1139,1885,2049,239,338,388
S01003645,Knightswood Park West,Garscadden/Scotstounhill,Glasgow Anniesland,2516,2788,2052,442,445,389
S01003581,Ruchill,Canal,Glasgow Maryhill,3121,3166,2059,516,489,390
S01003465,Glasgow Harbour and  Partick South,Partick West,Glasgow Kelvin,862,2221,2062,190,378,391
S01003338,Kinning Park and Festival Park,Govan,Glasgow Govan,2576,2302,2068,449,389,392
S01003267,Shettleston North,Shettleston,Glasgow Shettleston,4059,2926,2072,602,462,393
S01003380,Dennistoun,East Centre,Glasgow Springburn,1524,965,2085,304,176,394
S01003126,Pollokshaws,Newlands/Auldburn,Glasgow Govan,115,1755,2090,21,319,395
S01003425,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,2540,3372,2095,445,526,396
S01003431,Riddrie and Hogganfield,East Centre,Glasgow Springburn,2876,4534,2107,489,627,397
S01003097,Crookston South,Greater Pollok,Glasgow Pollok,2180,3859,2116,403,573,398
S01003326,Cardonald North,Craigton,Glasgow Pollok,2507,2495,2121,441,413,399
S01003511,Partickhill and Hyndland,Partick West,Glasgow Kelvin,2902,3228,2122,494,502,400
S01003277,Baillieston East,Baillieston,Glasgow Baillieston,2171,2304,2138,401,390,401
S01003186,Maxwell Park,Pollokshields,Glasgow Govan,2046,1048,2139,385,190,402
S01003057,Castlemilk,Linn,Glasgow Cathcart,2336,2240,2141,429,384,403
S01003508,Partick,Partick West,Glasgow Kelvin,2689,2575,2174,465,418,404
S01003236,Pollokshields West,Pollokshields,Glasgow Govan,1955,1515,2186,375,288,405
S01003377,"Cranhill, Lightburn and Queenslie South",Baillieston,Glasgow Baillieston,745,2245,2189,173,385,406
S01003181,Pollok North and East,Craigton,Glasgow Pollok,2272,2022,2194,420,359,407
S01003698,Blairdardie West,Drumchapel/Anniesland,Glasgow Anniesland,2144,4398,2198,396,617,408
S01003636,Milton West,Canal,Glasgow Maryhill,991,1260,2208,215,236,409
S01003282,Cardonald West and Central,Craigton,Glasgow Pollok,617,1928,2211,142,344,410
S01003488,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,1508,2822,2213,301,454,411
S01003142,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,1997,1749,2226,381,318,412
S01003230,Mosspark,Craigton,Glasgow Pollok,2840,3918,2231,486,578,413
S01003533,Petershill,Springburn,Glasgow Springburn,1722,2979,2239,333,466,414
S01003606,Springburn,Springburn,Glasgow Springburn,1730,2659,2250,335,427,415
S01003161,Crookston North,Greater Pollok,Glasgow Pollok,2731,3068,2266,469,479,416
S01003065,Muirend and Old Cathcart,Linn,Glasgow Cathcart,4165,3639,2285,611,554,417
S01003294,Craigton,Govan,Glasgow Pollok,328,1308,2287,68,245,418
S01003114,Mount Florida,Langside,Glasgow Cathcart,2878,2736,2299,490,436,419
S01003677,Milton East,Canal,Glasgow Maryhill,1781,2795,2307,345,447,420
S01003138,Pollokshaws,Newlands/Auldburn,Glasgow Govan,1692,3359,2313,330,523,421
S01003559,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,899,3210,2319,196,499,422
S01003139,Shawlands West,Pollokshields,Glasgow Govan,2247,2473,2321,416,411,423
S01003573,Springburn,Springburn,Glasgow Springburn,3193,4012,2326,527,587,424
S01003072,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,2298,2348,2329,423,394,425
S01003361,Greenfield,Baillieston,Glasgow Baillieston,913,1747,2334,201,317,426
S01003113,Kingspark North,Langside,Glasgow Rutherglen,4582,4471,2335,639,620,427
S01003315,Kinning Park and Festival Park,Govan,Glasgow Govan,3142,2059,2345,520,362,428
S01003371,Dennistoun,East Centre,Glasgow Springburn,879,2689,2352,193,430,429
S01003259,Baillieston East,Baillieston,Glasgow Baillieston,2562,2745,2362,447,439,430
S01003086,Newlands,Newlands/Auldburn,Glasgow Cathcart,1234,3367,2369,259,525,431
S01003117,Battlefield,Langside,Glasgow Cathcart,3911,3872,2376,587,575,432
S01003651,Knightswood Park East,Garscadden/Scotstounhill,Glasgow Anniesland,898,3350,2377,195,521,433
