Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,geographic_access_deprivation_rank_2004,geographic_access_deprivation_rank_2006,geographic_access_deprivation_rank_2009,geographic_access_deprivation_rank_2012,geographic_access_local_rank_2004,geographic_access_local_rank_2006,geographic_access_local_rank_2009,geographic_access_local_rank_2012
S01003162,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,3966,3866,4046,3494,256,184,181,174
S01003318,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,5084,3525,3578,3515,411,152,134,175
S01003221,Cardonald South and East,Craigton,Glasgow Pollok,3010,4375,3872,3527,142,252,161,176
S01003628,Balornock,North East,Glasgow Springburn,3726,4276,4632,3536,219,235,284,177
S01003643,Maryhill West,Maryhill/Kelvin,Glasgow Maryhill,5014,3678,3553,3545,395,166,129,178
S01003335,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,1704,5254,3859,3564,40,384,159,179
S01003303,Laurieston and Tradeston,Govan,Glasgow Govan,3579,4919,4817,3565,202,332,317,180
S01003279,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,3706,4411,3579,3579,216,260,135,181
S01003274,Laurieston and Tradeston,Southside Central,Glasgow Shettleston,2563,4774,4698,3584,104,312,296,182
S01003127,Kingspark North,Langside,Glasgow Rutherglen,4870,3967,4786,3591,373,197,311,183
S01003620,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,2849,4156,3975,3613,130,219,173,184
S01003194,Braidfauld,Shettleston,Glasgow Shettleston,2594,3129,3982,3616,105,110,174,185
S01003120,Pollok South and West,Greater Pollok,Glasgow Pollok,2049,2196,3445,3632,61,43,119,186
S01003443,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,2511,4517,5011,3633,96,272,354,187
S01003700,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,1738,1617,2280,3638,42,16,38,188
S01003372,"Cranhill, Lightburn and Queenslie South",Baillieston,Glasgow Baillieston,3979,3598,3365,3643,260,160,110,189
S01003085,Cathcart,Linn,Glasgow Cathcart,4598,3904,4063,3645,330,189,185,190
S01003034,Darnley East,Greater Pollok,Glasgow Pollok,2691,3037,3182,3647,115,98,96,191
S01003289,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,4850,5379,5067,3651,369,413,365,192
S01003665,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,4542,4423,3245,3658,323,261,102,193
S01003368,Gallowgate North and Bellgrove,Calton,Glasgow Shettleston,1060,5378,3641,3660,12,412,141,194
S01003560,Broomhill,Partick West,Glasgow Kelvin,5908,5298,3729,3661,544,395,153,195
S01003583,Blackhill and Barmulloch East,North East,Glasgow Springburn,4515,4984,4831,3664,318,344,321,196
S01003068,Carmunnock North,Linn,Glasgow Cathcart,3783,3567,3232,3676,229,156,101,197
S01003597,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,5602,4665,4863,3694,484,293,326,198
S01003714,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,3327,3106,3935,3706,178,106,166,199
S01003088,Nitshill,Greater Pollok,Glasgow Pollok,3519,1583,2747,3710,195,13,68,200
S01003606,Springburn,Springburn,Glasgow Springburn,3335,5232,4238,3718,180,380,224,201
S01003615,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,4672,5408,5244,3720,344,420,392,202
S01003358,City Centre East,Anderston/City,Glasgow Kelvin,2371,5778,4978,3726,83,482,348,203
S01003071,Muirend and Old Cathcart,Newlands/Auldburn,Glasgow Cathcart,2164,3392,2908,3733,70,133,79,204
S01003587,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,4656,4426,4033,3747,340,263,180,205
S01003074,Newlands,Newlands/Auldburn,Glasgow Cathcart,3133,3984,3852,3769,161,200,158,206
S01003691,Summerston Central and West,Maryhill/Kelvin,Glasgow Maryhill,1437,1201,1948,3781,23,5,21,207
S01003401,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,2656,3929,4658,3792,113,193,288,208
S01003237,Baillieston West,Baillieston,Glasgow Baillieston,5122,4760,4560,3804,414,306,278,209
S01003249,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,3624,3599,3651,3807,210,161,144,210
S01003625,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,5346,3709,4468,3808,449,167,260,211
S01003245,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,2486,4131,4048,3813,94,216,182,212
S01003113,Kingspark North,Langside,Glasgow Rutherglen,5203,4300,4261,3832,423,240,228,213
S01003461,Riddrie and Hogganfield,East Centre,Glasgow Springburn,4732,3940,4169,3838,353,195,214,214
S01003523,Craigend and Ruchazie,North East,Glasgow Baillieston,3809,3540,3420,3853,237,154,116,215
S01003073,Kingspark South,Linn,Glasgow Cathcart,4604,5601,5388,3864,331,449,421,216
S01003421,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,4911,4452,3654,3884,378,266,145,217
S01003258,Baillieston West,Baillieston,Glasgow Baillieston,4419,4200,4535,3893,307,225,273,218
S01003527,Victoria Park,Partick West,Glasgow Anniesland,5214,4574,3370,3906,428,280,112,219
S01003602,Balornock,North East,Glasgow Springburn,3023,3353,3959,3912,147,128,170,220
S01003592,Ruchill,Canal,Glasgow Maryhill,3556,4750,4939,3915,200,305,342,221
S01003577,Barmulloch,North East,Glasgow Springburn,3889,3722,4146,3916,248,171,208,222
S01003379,North Barlanark and Easterhouse South,Baillieston,Glasgow Baillieston,2341,5102,5118,3918,82,365,374,223
S01003413,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,3401,4196,3624,3928,185,224,139,224
S01003354,Old Shettleston and Parkhead North,East Centre,Glasgow Baillieston,4225,3434,3229,3932,286,140,100,225
S01003100,Newlands,Newlands/Auldburn,Glasgow Cathcart,5068,4311,4715,3936,407,242,300,226
S01003541,Petershill,Springburn,Glasgow Springburn,2636,3431,3504,3942,110,139,125,227
S01003051,Darnley North,Greater Pollok,Glasgow Pollok,4001,2271,2712,3961,264,45,66,228
S01003630,Knightswood Park West,Garscadden/Scotstounhill,Glasgow Anniesland,4700,4374,5123,3976,350,251,375,229
S01003122,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,4859,5085,4883,3977,372,361,328,230
S01003703,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,3623,5131,4722,3978,209,368,302,231
S01003663,Maryhill West,Maryhill/Kelvin,Glasgow Maryhill,4886,3980,3658,3984,375,198,146,232
S01003533,Petershill,Springburn,Glasgow Springburn,1993,3382,3515,3986,55,132,128,233
S01003247,Parkhead East and Braidfauld North,Calton,Glasgow Shettleston,5622,4692,4444,3999,488,298,256,234
S01003458,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,2769,4390,3026,4005,123,256,86,235
S01003357,Ibrox,Govan,Glasgow Govan,6481,4625,4553,4006,685,286,276,236
S01003366,City Centre East,Anderston/City,Glasgow Kelvin,1658,5662,4318,4018,37,457,235,237
S01003272,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,3700,4513,4725,4020,214,271,303,238
S01003489,Blackhill and Barmulloch East,North East,Glasgow Springburn,3924,5178,3926,4024,253,373,165,239
S01003388,Ibrox,Govan,Glasgow Govan,5213,4967,3913,4034,427,340,164,240
S01003099,Nitshill,Greater Pollok,Glasgow Pollok,4940,3577,4083,4035,382,157,193,241
S01003199,Shettleston South,Shettleston,Glasgow Shettleston,3004,3646,4087,4065,140,165,194,242
S01003651,Knightswood Park East,Garscadden/Scotstounhill,Glasgow Anniesland,4237,3581,3947,4070,288,158,168,243
S01003398,Easterhouse East,North East,Glasgow Baillieston,4163,4648,4403,4078,278,292,249,244
S01003462,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,6314,5100,4899,4084,630,364,332,245
S01003631,Knightswood Park East,Garscadden/Scotstounhill,Glasgow Anniesland,4367,3629,3646,4111,301,164,143,246
S01003216,Cardonald West and Central,Craigton,Glasgow Pollok,3000,4195,4399,4116,139,223,248,247
S01003515,Blackhill and Barmulloch East,North East,Glasgow Springburn,4821,5305,4922,4118,365,398,338,248
S01003652,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,5046,4565,3390,4123,401,279,114,249
S01003387,Carntyne West and Haghill,East Centre,Glasgow Springburn,6380,6002,5681,4127,650,533,470,250
S01003365,Ibrox,Govan,Glasgow Govan,6366,4789,4147,4136,643,315,209,251
S01003548,Barmulloch,Springburn,Glasgow Springburn,3989,4629,4123,4143,263,288,203,252
S01003292,Garrowhill West,Baillieston,Glasgow Baillieston,5920,3799,4451,4175,546,179,257,253
S01003589,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,2539,4931,4242,4179,102,335,225,254
S01003576,Kelvinside and Jordanhill,Hillhead,Glasgow Kelvin,4084,4929,4700,4180,270,334,297,255
S01003061,Carmunnock North,Linn,Glasgow Cathcart,3751,5584,5049,4183,222,446,361,256
S01003169,Pollok South and West,Greater Pollok,Glasgow Pollok,2170,3231,4206,4190,71,120,219,257
S01003667,Yoker North,Garscadden/Scotstounhill,Glasgow Anniesland,3823,3083,3599,4200,239,104,137,258
S01003035,Glenwood South,Linn,Glasgow Cathcart,1075,2966,3507,4207,13,93,126,259
S01003084,Nitshill,Greater Pollok,Glasgow Pollok,3789,3130,4221,4208,230,111,222,260
S01003277,Baillieston East,Baillieston,Glasgow Baillieston,4957,3920,4151,4213,386,192,210,261
S01003164,Battlefield,Southside Central,Glasgow Shettleston,4804,5712,5307,4215,363,469,403,262
S01003460,Hillhead,Partick West,Glasgow Kelvin,5238,6045,5392,4219,430,542,422,263
S01003072,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,3843,4215,4911,4222,241,228,336,264
S01003280,Kingston West and Dumbreck,Govan,Glasgow Govan,4438,5283,5517,4225,309,392,443,265
S01003225,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,2432,4603,4769,4235,88,285,308,266
S01003269,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,6269,5985,5672,4236,620,525,465,267
S01003567,Cowlairs and Port Dundas,Canal,Glasgow Maryhill,2991,5057,5576,4243,137,354,451,268
S01003675,Anniesland East,Drumchapel/Anniesland,Glasgow Anniesland,5944,5198,4964,4245,549,374,347,269
S01003201,Dalmarnock,Calton,Glasgow Shettleston,5729,4729,4869,4251,514,303,327,270
S01003608,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,4846,5351,5332,4258,368,408,409,271
S01003683,Blairdardie East,Garscadden/Scotstounhill,Glasgow Anniesland,4757,3233,4057,4259,358,121,183,272
S01003069,Carnwadric East,Newlands/Auldburn,Glasgow Cathcart,4681,3208,3246,4261,346,119,103,273
S01003712,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,3602,5322,5034,4265,206,402,357,274
S01003286,Kingston West and Dumbreck,Pollokshields,Glasgow Govan,2046,4934,4193,4267,60,336,217,275
S01003618,Knightswood Park East,Garscadden/Scotstounhill,Glasgow Anniesland,3792,3983,4380,4269,231,199,245,276
S01003492,Cowlairs and Port Dundas,Springburn,Glasgow Springburn,1456,4373,4499,4271,25,250,263,277
S01003328,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,1837,5313,4101,4272,46,401,198,278
S01003094,Merrylee and Millbrae,Newlands/Auldburn,Glasgow Cathcart,3807,4320,4142,4273,236,245,207,279
S01003596,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,4676,4555,4823,4291,345,276,319,280
S01003260,Mount Vernon North and Sandyhills,Shettleston,Glasgow Baillieston,4950,3947,4091,4295,384,196,195,281
S01003182,Pollok North and East,Greater Pollok,Glasgow Pollok,3179,3764,4326,4299,165,176,236,282
S01003654,Yoker North,Garscadden/Scotstounhill,Glasgow Anniesland,4881,3714,4138,4306,374,169,205,283
S01003512,Craigend and Ruchazie,North East,Glasgow Baillieston,4342,3461,3487,4328,297,144,122,284
S01003687,Milton East,Canal,Glasgow Maryhill,2062,5457,5745,4332,63,426,484,285
S01003234,Pollokshields West,Pollokshields,Glasgow Govan,3804,4960,4654,4333,235,339,287,286
S01003594,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,3916,5393,4531,4343,252,416,272,287
S01003599,Possil Park,Canal,Glasgow Maryhill,5018,4303,4384,4367,397,241,246,288
S01003427,Carntyne,East Centre,Glasgow Springburn,5013,4360,4731,4368,394,248,304,289
S01003086,Newlands,Newlands/Auldburn,Glasgow Cathcart,3011,4216,4152,4378,143,229,211,290
S01003167,Pollok South and West,Greater Pollok,Glasgow Pollok,3949,3831,4595,4381,254,181,281,291
