Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,housing_deprivation_rank_2004,housing_deprivation_rank_2006,housing_deprivation_rank_2009,housing_deprivation_rank_2012,housing_local_rank_2004,housing_local_rank_2006,housing_local_rank_2009,housing_local_rank_2012
S01003510,Cowlairs and Port Dundas,Springburn,Glasgow Springburn,168,168,168,168,123,123,123,123
S01003165,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,169,169,169,169,124,124,124,124
S01003370,Dennistoun,East Centre,Glasgow Springburn,170,170,170,170,125,125,125,125
S01003617,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,172,172,172,172,126,126,126,126
S01003549,Petershill,Springburn,Glasgow Springburn,173,173,173,173,127,127,127,127
S01003596,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,174,174,174,174,128,128,128,128
S01003347,Carntyne West and Haghill,Calton,Glasgow Shettleston,175,175,175,175,129,129,129,129
S01003390,North Barlanark and Easterhouse South,Baillieston,Glasgow Baillieston,177,177,177,177,130,130,130,130
S01003337,Old Shettleston and Parkhead North,East Centre,Glasgow Baillieston,178,178,178,178,131,131,131,131
S01003125,Langside,Langside,Glasgow Cathcart,179,179,179,179,132,132,132,132
S01003450,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,180,180,180,180,133,133,133,133
S01003364,Govan and Linthouse,Govan,Glasgow Govan,182,182,182,182,134,134,134,134
S01003392,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,183,183,183,183,135,135,135,135
S01003368,Gallowgate North and Bellgrove,Calton,Glasgow Shettleston,184,184,184,184,136,136,136,136
S01003714,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,185,185,185,185,137,137,137,137
S01003138,Pollokshaws,Newlands/Auldburn,Glasgow Govan,186,186,186,186,138,138,138,138
S01003425,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,188,188,188,188,139,139,139,139
S01003396,Govan and Linthouse,Govan,Glasgow Govan,190,190,190,190,140,140,140,140
S01003378,Carntyne West and Haghill,East Centre,Glasgow Springburn,193,193,193,193,141,141,141,141
S01003132,Pollokshaws,Newlands/Auldburn,Glasgow Govan,196,196,196,196,142,142,142,142
S01003357,Ibrox,Govan,Glasgow Govan,197,197,197,197,143,143,143,143
S01003417,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,199,199,199,199,144,144,144,144
S01003201,Dalmarnock,Calton,Glasgow Shettleston,200,200,200,200,145,145,145,145
S01003430,Anderston,Anderston/City,Glasgow Kelvin,201,201,201,201,146,146,146,146
S01003685,Yoker North,Garscadden/Scotstounhill,Glasgow Anniesland,203,203,203,203,147,147,147,147
S01003636,Milton West,Canal,Glasgow Maryhill,204,204,204,204,148,148,148,148
S01003422,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,206,206,206,206,149,149,149,149
S01003410,City Centre West,Anderston/City,Glasgow Kelvin,207,207,207,207,150,150,150,150
S01003316,Ibrox East and Cessnock,Govan,Glasgow Govan,209,209,209,209,151,151,151,151
S01003572,Springburn,Springburn,Glasgow Springburn,211,211,211,211,152,152,152,152
S01003232,Laurieston and Tradeston,Southside Central,Glasgow Shettleston,212,212,212,212,153,153,153,153
S01003687,Milton East,Canal,Glasgow Maryhill,213,213,213,213,154,154,154,154
S01003403,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,217,217,217,217,155,155,155,155
S01003455,Craigend and Ruchazie,North East,Glasgow Baillieston,218,218,218,218,156,156,156,156
S01003149,Shawlands East,Langside,Glasgow Govan,221,221,221,221,157,157,157,157
S01003464,Woodlands,Hillhead,Glasgow Maryhill,222,222,222,222,158,158,158,158
S01003679,Knightswood West,Garscadden/Scotstounhill,Glasgow Anniesland,223,223,223,223,159,159,159,159
S01003296,Parkhead West and Barrowfield,Shettleston,Glasgow Shettleston,224,224,224,224,160,160,160,160
S01003482,Firhill,Hillhead,Glasgow Maryhill,225,225,225,225,161,161,161,161
S01003237,Baillieston West,Baillieston,Glasgow Baillieston,226,226,226,226,162,162,162,162
S01003385,Dennistoun,East Centre,Glasgow Springburn,227,227,227,227,163,163,163,163
S01003513,Kelvingrove and University,Hillhead,Glasgow Kelvin,229,229,229,229,164,164,164,164
S01003146,Shawlands East,Langside,Glasgow Govan,230,230,230,230,165,165,165,165
S01003352,Barlanark,Baillieston,Glasgow Baillieston,231,231,231,231,166,166,166,166
S01003504,Kelvingrove and University,Hillhead,Glasgow Kelvin,233,233,233,233,167,167,167,167
S01003366,City Centre East,Anderston/City,Glasgow Kelvin,237,237,237,237,168,168,168,168
S01003220,Pollokshields East,Pollokshields,Glasgow Govan,241,241,241,241,169,169,169,169
S01003204,Pollok North and East,Craigton,Glasgow Pollok,243,243,243,243,170,170,170,170
S01003431,Riddrie and Hogganfield,East Centre,Glasgow Springburn,246,246,246,246,171,171,171,171
S01003272,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,247,247,247,247,172,172,172,172
S01003585,Ruchill,Maryhill/Kelvin,Glasgow Maryhill,250,250,250,250,173,173,173,173
S01003459,Craigend and Ruchazie,North East,Glasgow Springburn,252,252,252,252,174,174,174,174
S01003405,Easterhouse East,North East,Glasgow Baillieston,253,253,253,253,175,175,175,175
S01003562,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Kelvin,254,254,254,254,176,176,176,176
S01003313,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,256,256,256,256,177,177,177,177
S01003256,Pollokshields West,Pollokshields,Glasgow Govan,257,257,257,257,178,178,178,178
S01003426,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,259,259,259,259,179,179,179,179
S01003428,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,260,260,260,260,180,180,180,180
S01003173,Strathbungo,Southside Central,Glasgow Govan,263,263,263,263,181,181,181,181
S01003406,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,264,264,264,264,182,182,182,182
S01003712,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,266,266,266,266,183,183,183,183
S01003646,Knightswood Park East,Garscadden/Scotstounhill,Glasgow Anniesland,267,267,267,267,184,184,184,184
S01003409,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,268,268,268,268,185,185,185,185
S01003367,Govan and Linthouse,Govan,Glasgow Govan,269,269,269,269,186,186,186,186
S01003168,Shawlands West,Pollokshields,Glasgow Govan,271,271,271,271,187,187,187,187
S01003190,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,272,272,272,272,188,188,188,188
S01003206,Govanhill West,Southside Central,Glasgow Shettleston,273,273,273,273,189,189,189,189
S01003253,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,276,276,276,276,190,190,190,190
S01003134,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,279,279,279,279,191,191,191,191
S01003245,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,280,280,280,280,192,192,192,192
S01003543,Keppochhill,Canal,Glasgow Maryhill,281,281,281,281,193,193,193,193
S01003353,Carntyne West and Haghill,Calton,Glasgow Springburn,282,282,282,282,194,194,194,194
