Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,overall_deprivation_rank_2004,overall_deprivation_rank_2006,overall_deprivation_rank_2009,overall_deprivation_rank_2012,overall_local_rank_2004,overall_local_rank_2006,overall_local_rank_2009,overall_local_rank_2012
S01003086,Newlands,Newlands/Auldburn,Glasgow Cathcart,3446,3651,3353,3864,566,553,525,555
S01003087,Kingspark South,Linn,Glasgow Cathcart,2928,3113,3513,3275,542,517,541,519
S01003088,Nitshill,Greater Pollok,Glasgow Pollok,170,137,130,92,137,83,77,58
S01003089,Newlands,Newlands/Auldburn,Glasgow Cathcart,5591,5256,4831,5047,675,647,619,625
S01003090,Merrylee and Millbrae,Newlands/Auldburn,Glasgow Cathcart,2436,2731,2131,2260,508,501,438,441
S01003091,Kingspark South,Linn,Glasgow Cathcart,2986,3938,3207,3211,545,569,515,514
S01003092,Carnwadric East,Newlands/Auldburn,Glasgow Cathcart,1351,2011,1930,1857,410,443,421,403
S01003093,Newlands,Newlands/Auldburn,Glasgow Cathcart,545,715,618,635,298,282,236,228
S01003094,Merrylee and Millbrae,Newlands/Auldburn,Glasgow Cathcart,3201,2768,2829,2488,553,504,489,463
S01003095,Newlands,Newlands/Auldburn,Glasgow Cathcart,6333,6336,6257,6380,691,690,687,690
S01003096,Kingspark South,Linn,Glasgow Cathcart,4196,3973,3623,3883,605,573,548,558
S01003097,Crookston South,Greater Pollok,Glasgow Pollok,209,1786,2886,2297,163,416,495,449
S01003098,Cathcart,Langside,Glasgow Cathcart,1107,1993,1906,1545,384,440,419,371
S01003099,Nitshill,Greater Pollok,Glasgow Pollok,167,254,404,335,136,137,182,153
S01003100,Newlands,Newlands/Auldburn,Glasgow Cathcart,2031,2113,2137,2287,479,452,439,445
S01003101,Crookston South,Greater Pollok,Glasgow Pollok,489,800,747,953,275,298,265,285
S01003102,Kingspark North,Langside,Glasgow Rutherglen,4337,4405,4120,4294,613,599,573,581
S01003103,Kingspark North,Langside,Glasgow Cathcart,5244,5414,5308,5410,656,657,645,653
S01003104,Pollokshaws,Newlands/Auldburn,Glasgow Cathcart,654,797,828,705,326,296,277,244
S01003105,Kingspark North,Langside,Glasgow Rutherglen,3070,3574,3087,2873,548,551,509,489
S01003106,Newlands,Newlands/Auldburn,Glasgow Cathcart,5852,5657,5475,5613,679,670,658,659
S01003107,Crookston South,Greater Pollok,Glasgow Pollok,286,595,466,286,203,259,197,140
S01003108,Cathcart,Langside,Glasgow Cathcart,1338,1742,1759,1399,408,412,402,353
S01003109,Merrylee and Millbrae,Newlands/Auldburn,Glasgow Cathcart,5507,5429,5631,5729,672,659,669,668
S01003110,Merrylee and Millbrae,Newlands/Auldburn,Glasgow Cathcart,5942,6237,6161,5996,683,684,682,678
S01003111,Nitshill,Greater Pollok,Glasgow Pollok,223,293,232,188,170,156,115,101
S01003112,Cathcart,Langside,Glasgow Cathcart,4558,4911,4444,4613,621,624,595,596
S01003113,Kingspark North,Langside,Glasgow Rutherglen,4608,4573,4703,4792,623,604,610,606
S01003114,Mount Florida,Langside,Glasgow Cathcart,3649,4109,3783,3639,581,581,556,539
S01003115,Pollokshaws,Newlands/Auldburn,Glasgow Cathcart,3568,3322,4089,4267,578,531,571,579
S01003116,Cathcart,Langside,Glasgow Cathcart,1659,2068,2192,1738,442,446,443,392
S01003117,Battlefield,Langside,Glasgow Cathcart,1788,2477,2202,2067,454,476,445,420
S01003118,Pollokshaws,Newlands/Auldburn,Glasgow Govan,143,206,269,1420,117,119,134,357
S01003119,Kingspark North,Langside,Glasgow Rutherglen,2863,3340,2701,3223,535,533,479,515
S01003120,Pollok South and West,Greater Pollok,Glasgow Pollok,4863,4524,5027,4965,641,602,630,620
S01003121,Crookston South,Greater Pollok,Glasgow Pollok,199,384,318,304,157,194,155,147
S01003122,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,1246,1470,1790,2091,402,384,406,422
S01003123,Pollok South and West,Greater Pollok,Glasgow Pollok,3464,3930,3830,3730,570,568,561,548
S01003124,Battlefield,Langside,Glasgow Cathcart,3299,3761,4141,4208,560,560,575,578
S01003125,Langside,Langside,Glasgow Cathcart,2872,3224,3008,3618,536,524,505,538
S01003126,Pollokshaws,Newlands/Auldburn,Glasgow Govan,136,331,1778,1834,110,172,405,399
S01003127,Kingspark North,Langside,Glasgow Rutherglen,3098,3076,3480,2865,549,513,538,488
S01003128,Mount Florida,Langside,Glasgow Cathcart,1377,1434,1559,1387,413,378,377,351
S01003129,Langside,Langside,Glasgow Govan,3312,3540,3358,3436,561,549,527,526
S01003130,Mount Florida,Langside,Glasgow Cathcart,2813,3412,2607,2904,533,538,473,492
